college,class_plan,total_enrollment
Seton Hill University,Primarily in person,2297
Sewanee: The University of the South,Hybrid,1785
Sh'or Yoshuv Rabbinical College,Other,160
Shasta Bible College and Graduate School,Primarily in person,52
Shasta College,Hybrid,9105
Shaw University,Hybrid,1411
Shawnee State University,Hybrid,3253
Shenandoah University,Hybrid,3817
Shepherd University at Shepherdstown,Primarily in person,3648
Shiloh University,Fully online,42
Shippensburg University of Pennsylvania,Primarily online,6381
Shorter University,Other,1452
Siena College,Primarily in person,3221
Siena Heights University,Primarily in person,2433
Sierra Nevada College,Primarily online,889
Silver Lake College of the Holy Family,Other,444
Simmons College of Kentucky,Fully online,210
Simmons University,Fully online,6082
Simpson College,Primarily in person,1444
Simpson University,Hybrid,834
Sinte Gleska University,Fully online,583
Sitting Bull College,Hybrid,273
Skagit Valley College,Primarily online,5159
Skidmore College,Hybrid,2613
Skyline College,Primarily online,9014
Slippery Rock University of Pennsylvania,Primarily online,8803
Smith College,Fully online,2903
Snow College,Fully in person,5514
Soka University of America,Fully online,442
Solano Community College,Primarily online,9378
Sonoma State University,Primarily online,9459
South Carolina State University,Hybrid,3022
South Dakota School of Mines and Technology,Hybrid,2654
South Dakota State University,Hybrid,12104
South Florida Bible College,Fully online,478
South Florida State College,Other,2910
South Georgia State College,Fully in person,2482
South Seattle College,Primarily online,6177
South Texas College,Hybrid,31949
Southeast Missouri Hospital College of Nursing and Health Sciences,Undetermined,175
Southeast Missouri State University,Primarily in person,11071
Southeastern Baptist College,Undetermined,72
Southeastern Baptist Theological Seminary,Primarily in person,3140
Southeastern Louisiana University,Hybrid,14298
Southeastern Oklahoma State University,Hybrid,4542
Southeastern University,Hybrid,8755
Southern Adventist University,Fully in person,2942
Southern Arkansas University,Undetermined,4472
Southern California Institute of Architecture,Primarily online,506
Southern California Seminary,Fully online,197
Southern California University of Health Sciences,Primarily online,1211
Southern Connecticut State University,Primarily online,10050
Southern Illinois University at Carbondale,Primarily online,12817
Southern Illinois University at Edwardsville,Primarily online,13281
Southern Methodist University,Hybrid,11649
Southern Nazarene University,Primarily in person,2081
Southern New Hampshire University,Fully online,104068
Southern Oregon University,Primarily in person,6278
Southern University,Hybrid,6693
Southern University at New Orleans,Hybrid,2356
Southern Utah University,Primarily online,10196
Southern Vermont College,Other,351
Southern Virginia University,Primarily in person,1023
Southern Wesleyan University,Fully online,1551
Southwest Baptist University,Primarily in person,3357
Southwest Minnesota State University,Primarily online,7167
Southwestern Adventist University,Primarily in person,879
Southwestern Assemblies of God University,Primarily in person,2102
Southwestern Christian College,Hybrid,87
Southwestern Christian University,Hybrid,598
Southwestern College,Hybrid,1514
Southwestern Oklahoma State University,Primarily in person,5267
Southwestern University,Primarily in person,1434
Spalding University,Hybrid,1758
Spelman College,Fully online,2171
Spokane Community College,Primarily in person,10375
Spokane Falls Community College,Primarily online,5184
Spring Arbor University,Primarily in person,3436
Spring Hill College,Hybrid,1379
Springfield College,Primarily in person,3139
St. Ambrose University,Primarily in person,3045
St. Andrews University,Undetermined,683
St. Augustine College,Undetermined,1098
St. Bonaventure University,Primarily in person,2379
St. Catherine University,Primarily online,4859
St. Cloud State University,Primarily online,13928
St. Edward's University,Hybrid,4301
St. Francis College,Primarily online,2413
St. John Fisher College,Primarily in person,3712
St. John Vianney College Seminary,Fully in person,62
St. John's College,Fully online,371
St. John's College,Fully online,527
St. John's University,Hybrid,21635
St. Johns River State College,Hybrid,7503
St. Joseph's College-Long Island,Primarily online,4115
St. Lawrence University,Hybrid,2522
St. Louis College of Pharmacy,Fully in person,1195
St. Luke's College,Other,273
St. Mary's College of Maryland,Primarily in person,1582
St. Mary's University,Primarily online,3648
St. Norbert College,Primarily online,2228
St. Olaf College,Primarily in person,3048
St. Petersburg College,Primarily online,29183
St. Thomas Aquinas College,Primarily in person,2000
St. Thomas University,Primarily in person,4227
Stanford University,Primarily online,17381
"State College of Florida, Manatee-Sarasota",Hybrid,10229
State University of New York,Hybrid,9970
SUNY Fredonia,Hybrid,4655
SUNY Morrisville,Hybrid,2986
SUNY New Paltz,Primarily online,7608
SUNY Cortland,Primarily online,6858
SUNY Geneseo,Hybrid,5612
SUNY Old Westbury,Fully online,5087
SUNY Oneonta,Fully online,6543
SUNY Oswego,Fully online,7986
SUNY Plattsburgh,Hybrid,5704
State University of New York College at Potsdam,Primarily online,3521
SUNY Purchase College,Primarily online,4234
SUNY Cobleskill,Primarily in person,2278
SUNY College of Environmental Science and Forestry,Primarily online,2220
SUNY Canton,Hybrid,3213
SUNY Delhi,Primarily online,3232
SUNY Empire State College,Primarily online,10424
SUNY Maritime College,Primarily in person,1734
SUNY Polytechnic Institute,Primarily online,3023
SUNY Brockport,Hybrid,8287
Stephen F. Austin State University,Hybrid,13144
Stephens College,Hybrid,756
Sterling College - KA,Primarily in person,651
Sterling College - VT,Primarily in person,136
Stetson University,Hybrid,4341
Stevens Henager College at Ogden,Other,200
Stevens Institute of Technology,Hybrid,6929
Stevens-Henager College at Boise,Other,225
Stevens-Henager College at Logan,Other,61
Stevens-Henager College at Salt Lake City,Other,399
Stevens-Henager College at St. George,Other,93
Stevens-Henager College of Business,Other,125
Stevenson University,Fully online,3615
Stillman College,Hybrid,797
Stockton University,Hybrid,9621
Stone Child College,Undetermined,444
Stonehill College,Hybrid,2556
Stony Brook University,Primarily online,26256
Suffolk University,Primarily online,7186
Sul Ross State University,Primarily in person,2739
SUM Bible College and Theological Seminary,Fully online,636
Summit Christian College,Undetermined,27
Susquehanna University,Primarily in person,2396
Swarthmore College,Primarily online,1559
Sweet Briar College,Primarily in person,337
Syracuse University,Hybrid,22803
Tabor College,Hybrid,713
Tacoma Community College,Primarily online,6242
Talladega College,Hybrid,1212
Tallahassee Community College,Hybrid,11914
Talmudic College of Florida,Other,22
Talmudical Academy of New Jersey,Other,58
Talmudical Institute of Upstate New York,Other,14
Talmudical Seminary of Bobov,Other,395
Talmudical Seminary Oholei Torah,Other,310
Talmudical Yeshiva of Philadelphia,Other,123
Tarleton State University,Primarily in person,13109
Taylor University,Hybrid,2195
Telshe Yeshiva at Chicago,Other,88
Temple University,Primarily online,39740
Tennessee State University,Hybrid,7774
Tennessee Technological University,Primarily in person,10186
Tennessee Wesleyan University,Primarily in person,1008
Texas A&M International University,Primarily in person,7884
Texas A&M University at College Station,Primarily in person,68679
Texas A&M University at Commerce,Primarily in person,12411
Texas A&M University at Corpus Christi,Primarily in person,11929
Texas A&M University at Kingsville,Primarily in person,8541
Texas A&M University at San Antonio,Primarily in person,6557
Texas A&M University at Texarkana,Primarily in person,2097
Texas Christian University,Hybrid,10918
Texas College,Fully online,1042
Texas Lutheran University,Primarily in person,1443
Texas Southern University,Hybrid,9732
Texas State University,Primarily in person,38644
Texas Tech University,Primarily in person,38209
Texas Wesleyan University,Hybrid,2236
Texas Woman's University,Primarily in person,15518
The Citadel,Primarily in person,3763
Thiel College,Primarily in person,742
Thomas Aquinas College,Undetermined,407
Thomas College,Primarily in person,1767
Thomas Edison State University,Fully in person,10934
Thomas Jefferson University,Hybrid,7786
Thomas More College of Liberal Arts,Other,90
Thomas More University,Hybrid,2253
Thomas University,Primarily online,1310
Tiffin University,Primarily in person,3045
Toccoa Falls College,Primarily in person,1656
Torah Temimah Talmudical Seminary,Other,21
Tougaloo College,Primarily online,736
Touro College,Primarily online,11800
Touro University Worldwide,Fully online,1672
Towson University,Primarily online,22923
Transylvania University,Primarily online,987
Trevecca Nazarene University,Primarily in person,3927
Tri-State Bible College,Other,51
Trine University,Primarily in person,4320
Trine University at Fort Wayne,Fully online,652
Trinity Baptist College,Primarily in person,354
Trinity Bible College,Fully in person,253
Trinity Christian College,Fully online,1131
Trinity College,Primarily in person,2235
Trinity College of Florida,Primarily in person,205
Trinity College of Nursing & Health Sciences,Primarily in person,217
Trinity International University,Primarily in person,1775
"Trinity International University, Florida Regional Center",Fully online,223
Trinity University,Hybrid,2637
Trinity Washington University,Primarily online,1782
Trocaire College,Primarily online,1349
Troy University,Hybrid,16981
Truckee Meadows Community College,Primarily online,10861
Truett McConnell University,Fully in person,3001
Truman State University,Hybrid,5853
Tufts University,Hybrid,11586
Tulane University of Louisiana,Primarily in person,12646
Turtle Mountain Community College,Fully online,573
Tusculum University,Primarily in person,1735
Tuskegee University,Hybrid,3026
Tyler Junior College,Hybrid,10106
U.T,Other,1940
Union Bible College,Primarily in person,61
Union College - NY,Hybrid,2197
Union College - KY,Primarily in person,1333
Union Institute & University,Fully online,925
Union University,Primarily in person,3247
United States Merchant Marine Academy,Undetermined,1015
United Talmudical Seminary,Other,2756
United Tribes Technical College,Primarily in person,429
Unity College,Fully online,814
Suny Albany,Hybrid,17944
Suny University Buffalo,Hybrid,31503
University of Akron,Primarily online,18731
University of Alabama at Birmingham,Primarily online,21923
University of Alabama at Huntsville,Hybrid,9736
University of Alabama,Primarily in person,38390
University of Alaska at Anchorage,Primarily online,14644
University of Alaska at Fairbanks,Hybrid,7404
University of Alaska-Southeast,Primarily online,2266
University of Arizona,Primarily online,44097
University of Arkansas,Primarily online,27778
University of Arkansas at Fort Smith,Primarily in person,6557
University of Arkansas at Little Rock,Hybrid,10515
University of Arkansas at Monticello,Hybrid,3111
University of Arkansas at Pine Bluff,Primarily online,2579
University of Baltimore,Fully online,5041
University of Bridgeport,Primarily in person,5485
University of California at Berkeley,Primarily online,42501
University of California at Davis,Primarily online,38167
University of California at Irvine,Primarily online,36032
University of California at Los Angeles,Primarily online,44537
University of California at Merced,Primarily online,8544
University of California at Riverside,Primarily online,23922
University of California at San Diego,Primarily online,37887
University of California at Santa Barbara,Primarily online,25976
University of California at Santa Cruz,Primarily online,19700
University of Central Arkansas,Primarily online,11177
University of Central Florida,Primarily in person,68475
University of Central Missouri,Primarily in person,11487
University of Central Oklahoma,Primarily in person,15393
University of Charleston,Primarily in person,2623
University of Chicago,Hybrid,17002
University of Cincinnati,Hybrid,37886
University of Cincinnati-Blue Ash College,Hybrid,4870
University of Cincinnati-Clermont College,Hybrid,3017
University of Colorado at Boulder,Hybrid,36681
University of Colorado at Colorado Springs,Hybrid,13123
University of Colorado Denver and Anschutz Medical Campus,Primarily online,25645
University of Connecticut,Primarily online,27412
University of Connecticut at Hartford,Primarily in person,1432
University of Connecticut-Avery Point,Primarily online,571
University of Connecticut-Stamford,Primarily in person,1977
University of Connecticut-Tri-Campus,Primarily in person,865
University of Dallas,Hybrid,2542
University of Dayton,Primarily online,11241
University of Delaware,Primarily online,24120
University of Denver,Primarily online,11952
University of Detroit Mercy,Hybrid,5111
University of Dubuque,Hybrid,2385
University of Evansville,Primarily online,2443
University of Findlay,Hybrid,4870
University of Florida,Primarily online,52218
University of Florida-Online,Fully online,3585
University of Fort Lauderdale,Undetermined,83
University of Georgia,Primarily in person,38652
University of Hartford,Primarily in person,6770
University of Hawaii at Hilo,Primarily online,3406
University of Hawaii Maui College,Primarily online,3092
University of Hawaii-Manoa,Primarily online,17710
University of Hawaii-West Oahu,Primarily online,3128
University of Holy Cross,Primarily online,1255
University of Houston,Primarily online,46324
University of Houston-Clear Lake,Primarily online,8961
University of Houston-Downtown,Primarily online,14265
University of Houston-Victoria,Primarily online,4336
University of Idaho,Primarily in person,11841
University of Illinois at Chicago,Primarily online,31683
University of Illinois at Springfield,Primarily online,4575
University of Illinois at Urbana-Champaign,Hybrid,49702
University of Indianapolis,Primarily online,5935
University of Iowa,Primarily in person,31656
University of Jamestown,Primarily in person,1089
University of Kansas,Primarily in person,27690
University of Kentucky,Primarily online,29182
University of La Verne,Primarily in person,8064
University of Louisiana at Lafayette,Primarily in person,17123
University of Louisiana at Monroe,Primarily online,9291
University of Louisville,Primarily online,21430
University of Lynchburg,Fully online,3081
University of Maine at Augusta,Primarily online,4128
University of Maine at Farmington,Hybrid,2040
University of Maine at Fort Kent,Primarily online,1791
University of Maine at Machias,Primarily online,675
University of Maine,Hybrid,11404
University of Maine at Presque Isle,Hybrid,1553
University of Mary,Primarily in person,3796
University of Mary Hardin-Baylor,Primarily in person,3888
University of Mary Washington,Primarily online,4727
University of Maryland at College Park,Primarily online,41200
University of Maryland University College,Other,60603
University of Maryland-Baltimore County,Primarily online,13767
University of Maryland-Eastern Shore,Primarily in person,3193
University of Massachusetts at Amherst,Primarily online,30593
University of Massachusetts at Boston,Fully online,16164
University of Massachusetts at Dartmouth,Hybrid,8513
University of Massachusetts at Lowell,Primarily online,18242
University of Memphis,Primarily online,21458
University of Miami,Primarily in person,17331
University of Michigan,Hybrid,46716
University of Michigan at Dearborn,Primarily online,9460
University of Michigan at Flint,Primarily online,7532
University of Minnesota at Crookston,Hybrid,2810
University of Minnesota at Duluth,Primarily online,11024
University of Minnesota at Morris,Hybrid,1552
University of Minnesota at Rochester,Primarily online,533
University of Minnesota-Twin Cities,Primarily online,50734
University of Mississippi,Hybrid,22456
University of Missouri,Primarily online,29843
University of Missouri at Kansas City,Primarily online,16375
University of Missouri at St. Louis,Primarily online,16441
University of Mobile,Primarily in person,1885
University of Montana,Primarily online,10962
University of Montana Western,Primarily in person,1508
University of Montevallo,Primarily in person,2612
University of Mount Olive,Primarily online,3208
University of Mount Union,Hybrid,2403
University of Nebraska at Kearney,Hybrid,6327
University of Nebraska at Lincoln,Primarily in person,25820
University of Nebraska at Omaha,Primarily in person,15431
University of Nevada at Las Vegas,Primarily online,30457
University of Nevada at Reno,Hybrid,21463
University of New England,Hybrid,8010
University of New Hampshire,Primarily online,15298
University of New Hampshire at Manchester,Primarily online,750
University of New Haven,Primarily in person,6867
University of New Mexico,Hybrid,24319
University of New Orleans,Hybrid,8151
University of North Alabama,Hybrid,7488
University of North Carolina at Asheville,Primarily online,3762
University of North Carolina at Chapel Hill,Fully online,30011
University of North Carolina at Charlotte,Primarily online,29710
University of North Carolina at Greensboro,Primarily online,20106
University of North Carolina at Pembroke,Primarily in person,7137
University of North Carolina at Wilmington,Primarily online,16747
University of North Carolina School of the Arts,Primarily in person,1042
University of North Dakota,Hybrid,13847
University of North Florida,Hybrid,16776
University of North Georgia,Primarily online,19722
University of North Texas,Hybrid,38241
University of North Texas at Dallas,Primarily online,3757
University of Northern Colorado,Hybrid,13437
University of Northern Iowa,Primarily in person,11187
University of Northwestern,Primarily online,3420
University of Northwestern at St. Paul,Primarily in person,3623
University of Notre Dame,Primarily in person,12607
University of Oklahoma,Primarily in person,28564
University of Oregon,Primarily online,22644
University of Pennsylvania,Fully online,25860
University of Pikeville,Primarily in person,2317
University of Pittsburgh,Primarily online,28673
University of Pittsburgh at Bradford,Hybrid,1281
University of Pittsburgh at Greensburg,Hybrid,1508
University of Pittsburgh at Johnstown,Primarily online,2600
University of Portland,Fully online,4280
University of Providence,Fully online,1038
University of Puget Sound,Fully online,2666
University of Redlands,Fully online,4598
University of Rhode Island,Other,17777
University of Richmond,Primarily in person,4002
University of Rio Grande,Primarily in person,1704
University of Rochester,Hybrid,11817
University of Saint Francis,Primarily in person,2199
University of Saint Joseph,Hybrid,2465
University of Saint Katherine,Primarily online,187
University of Saint Mary,Primarily in person,1254
University of San Diego,Primarily online,9073
University of San Francisco,Fully online,10713
University of Science and Arts of Oklahoma,Primarily in person,852
University of Scranton,Hybrid,5286
University of Sioux Falls,Fully in person,1615
University of South Alabama,Primarily online,14834
University of South Carolina at Aiken,Hybrid,3699
University of South Carolina at Beaufort,Hybrid,2116
University of South Carolina,Primarily in person,34795
University of South Carolina Upstate,Hybrid,6175
University of South Dakota,Primarily in person,10066
University of South Florida,Hybrid,43846
University of South Florida at St. Petersburg,Hybrid,4727
University of South Florida-Sarasota/Manatee,Hybrid,2069
University of Southern California,Primarily online,47310
University of Southern Indiana,Hybrid,10986
University of Southern Maine,Primarily online,8140
University of Southern Mississippi,Primarily online,14509
University of St. Francis,Primarily in person,3927
University of St. Thomas - TX,Hybrid,3223
University of St. Thomas - MN,Hybrid,10035
University of Tampa,Primarily in person,9333
University of Tennessee at Chattanooga,Primarily in person,11638
University of Tennessee at Knoxville,Hybrid,28894
University of Tennessee at Martin,Hybrid,7048
University of Texas at Arlington,Hybrid,47899
University of Texas at Austin,Hybrid,51832
University of Texas at Dallas,Hybrid,28755
University of Texas at El Paso,Primarily online,25151
University of Texas at San Antonio,Hybrid,32264
University of Texas at Tyler,Hybrid,10206
University of Texas of the Permian Basin,Hybrid,5834
University of Texas-Rio Grande Valley,Other,28644
University of the Arts,Fully online,1914
University of the Cumberlands,Hybrid,13472
University of the District of Columbia,Primarily online,4244
University of the Incarnate Word,Primarily online,8263
University of the Ozarks,Hybrid,872
University of the Pacific,Fully online,6493
University of the Sciences in Philadelphia,Primarily online,2231
University of the Southwest,Undetermined,951
University of the West,Fully online,291
University of Toledo,Primarily in person,20237
University of Tulsa,Hybrid,4365
University of Utah,Primarily online,33023
University of Valley Forge,Hybrid,659
University of Vermont,Hybrid,13395
University of Virginia,Primarily online,24639
University of Virginia's College at Wise,Primarily online,2065
University of Washington,Primarily online,47400
University of Washington at Bothell,Primarily online,5970
University of Washington at Tacoma,Primarily online,5354
University of West Alabama,Fully in person,5200
University of West Florida,Hybrid,12847
University of West Georgia,Primarily in person,13733
University of Wisconsin at Eau Claire,Primarily in person,11604
University of Wisconsin at Green Bay,Primarily online,8566
University of Wisconsin at La Crosse,Primarily online,10597
University of Wisconsin at Madison,Primarily online,43463
University of Wisconsin at Milwaukee,Hybrid,27012
University of Wisconsin at Oshkosh,Primarily online,16410
University of Wisconsin at Platteville,Primarily online,8955
University of Wisconsin at River Falls,Primarily online,6135
University of Wisconsin at Stevens Point,Primarily online,9086
University of Wisconsin at Superior,Primarily online,2603
University of Wisconsin at Whitewater,Primarily online,13059
University of Wisconsin-Parkside,Primarily online,4295
University of Wisconsin-Stout,Primarily online,8770
University of Wyoming,Primarily in person,12450
Upper Iowa University,Primarily in person,4392
Urbana University,Other,587
Ursinus College,Primarily in person,1435
Ursuline College,Hybrid,1073
Utah State University,Hybrid,27932
Utah Valley University,Primarily online,39931
Utica College,Hybrid,5196
Valdosta State University,Primarily in person,11211
Valencia College,Primarily online,46521
Valley City State University,Hybrid,1547
Valparaiso University,Primarily in person,3786
Vanderbilt University,Other,12824
VanderCook College of Music,Primarily in person,146
Vanguard University of Southern California,Primarily online,2169
Vassar College,Hybrid,2456
Vaughn College of Aeronautics and Technology,Hybrid,1542
Vermont Technical College,Hybrid,1638
Villa Maria College of Buffalo,Other,544
Villanova University,Primarily in person,11030
Vincennes University,Other,17481
Virginia Baptist College,Fully online,210
Virginia Commonwealth University,Primarily in person,30697
Virginia International University,Hybrid,282
Virginia Military Institute,Primarily in person,1685
Virginia State University,Fully online,4385
Virginia Tech,Primarily in person,34683
Virginia Union University,Undetermined,1552
Virginia University of Lynchburg,Undetermined,298
Virginia Wesleyan University,Primarily in person,1437
Visible Music College,Primarily in person,172
Viterbo University,Primarily in person,2598
Voorhees College,Fully online,491
Wabash College,Primarily in person,882
Wagner College,Hybrid,2218
Wake Forest University,Primarily online,8401
Walla Walla Community College,Hybrid,3860
Walla Walla University,Hybrid,1854
Walsh University,Primarily in person,2779
Warner Pacific University,Hybrid,368
Warner Pacific University Adult Degree Program,Hybrid,387
Warner University,Hybrid,1116
Warren Wilson College,Primarily in person,741
Wartburg College,Primarily in person,1498
Washburn University,Hybrid,6571
Washington & Jefferson College,Primarily online,1357
Washington Adventist University,Fully online,1131
Washington and Lee University,Primarily in person,2223
Washington College,Fully online,1367
Washington State University,Primarily online,31478
Washington University in St. Louis,Primarily online,15852
"Watkins College of Art, Design & Film",Other,193
Wayland Baptist University,Primarily in person,4504
Wayne State College,Fully in person,3633
Wayne State University,Primarily online,27025
Waynesburg University,Primarily in person,1674
Webb Institute,Primarily in person,104
Webber International University,Fully in person,694
Weber State University,Hybrid,28247
Webster University,Primarily in person,11406
Welch College,Fully in person,403
Wellesley College,Primarily online,2534
Wells College,Primarily in person,471
Wenatchee Valley College,Fully online,3444
Wentworth Institute of Technology,Hybrid,4516
Wesley College,Hybrid,1351
Wesleyan College,Primarily in person,765
Wesleyan University,Hybrid,3217
West Chester University of Pennsylvania,Fully online,17527
West Liberty University,Primarily online,2526
West Los Angeles College,Fully online,11743
West Texas A&M University,Primarily in person,10029
West Virginia State University,Hybrid,3692
West Virginia University,Primarily online,26864
West Virginia University at Parkersburg,Primarily online,2403
West Virginia University Institute of Technology,Primarily in person,1755
West Virginia Wesleyan College,Primarily online,1294
Western Carolina University,Hybrid,11639
Western Connecticut State University,Primarily online,5642
Western Governors University,Fully online,121437
Western Illinois University,Primarily in person,8502
Western Kentucky University,Primarily online,19456
Western Michigan University,Primarily in person,22562
Western Nevada College,Primarily online,3327
Western New England University,Primarily in person,3780
Western New Mexico University,Primarily online,3248
Western Oregon University,Primarily online,5185
Western State Colorado University,Primarily in person,3034
Western Washington University,Primarily online,16121
Westfield State University,Primarily online,6100
Westminster College - MO,Primarily online,717
Westminster College - PA,Primarily in person,1269
Westminster College - UT,Primarily in person,2477
Westmont College,Hybrid,1277
Whatcom Community College,Primarily online,4263
Wheaton College - IL,Hybrid,1760
Wheaton College - MA,Hybrid,2944
Wheeling Jesuit University,Hybrid,1171
Whitman College,Primarily online,1475
Whittier College,Primarily online,1852
Whitworth University,Primarily in person,2776
Wichita State University,Primarily online,15778
Widener University,Primarily online,6621
Wilberforce University,Fully online,672
Wiley College,Fully online,1003
Wilkes University,Primarily online,5132
Willamette University,Hybrid,2363
William Carey University,Primarily online,5042
William Jessup University,Hybrid,1695
William Jewell College,Primarily in person,808
William Paterson University of New Jersey,Primarily in person,10198
William Peace University,Primarily in person,910
William Penn University,Fully in person,1279
William Woods University,Primarily in person,2302
Williams Baptist College,Fully in person,496
Williams College,Primarily in person,2149
Williamson Christian College,Hybrid,47
Wilmington College,Primarily in person,1260
Wilmington University,Fully online,14786
Wilson College,Fully online,1499
Wingate University,Primarily in person,3689
Winona State University,Primarily online,7792
Winston-Salem State University,Hybrid,5190
Winthrop University,Primarily online,5813
Wisconsin Lutheran College,Hybrid,1248
Wittenberg University,Hybrid,1801
Wofford College,Primarily in person,1666
Women's Institute of Torah Seminary,Primarily in person,72
Woodbury University,Primarily online,1173
Worcester Polytechnic Institute,Hybrid,6874
Worcester State University,Primarily in person,6217
World Mission University,Other,348
Wright State University,Primarily online,14403
Wright State University Lake Campus,Primarily online,1063
Xavier University,Primarily in person,7127
Xavier University of Louisiana,Primarily in person,3231
Yakima Valley Community College,Primarily online,4456
Yale University,Primarily online,13433
Yeshiva Bais Aharon,Fully online,41
Yeshiva Beth Yehuda-Yeshiva Gedolah of Greater Detroit,Other,65
Yeshiva Chemdas Hatorah,Fully online,63
Yeshiva College of the Nation's Capital,Undetermined,21
Yeshiva D'Monsey Rabbinical College,Other,75
Yeshiva Derech Chaim,Other,139
Yeshiva Gedola Ohr Yisrael,Other,38
Yeshiva Gedola Tiferes Yerachmiel,Fully online,128
Yeshiva Gedolah Imrei Yosef D'Spinka,Other,146
Yeshiva Gedolah Keren Hatorah,Fully online,147
Yeshiva Gedolah Kesser Torah,Other,81
Yeshiva Gedolah of Cliffwood,Fully online,84
Yeshiva Gedolah Rabbinical College,Undetermined,34
Yeshiva Gedolah Shaarei Shmuel,Other,77
Yeshiva Gedolah Tiferes Boruch,Fully online,63
Yeshiva Gedolah Zichron Leyma,Other,23
Yeshiva Karlin Stolin Beth Aaron V'Israel Rabbinical Institute,Other,147
Yeshiva Kollel Tifereth Elizer,Fully online,94
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Other,33
Yeshiva of Machzikai Hadas,Other,427
Yeshiva of Nitra Rabbinical College,Other,217
Yeshiva of the Telshe Alumni,Other,101
Yeshiva Ohr Elchonon Chabad/West Coast Talmudical Seminary,Other,155
Yeshiva Ohr Naftoli,Fully online,18
Yeshiva Shaar Ephraim,Fully online,109
Yeshiva Shaar Hatorah-Grodno,Other,90
Yeshiva Shaarei Torah of Rockland,Primarily in person,78
Yeshiva Sholom Shachna,Other,92
Yeshiva Toras Chaim,Other,240
Yeshiva University,Primarily in person,6479
Yeshiva Yesodei Hatorah,Other,46
Yeshiva Zichron Aryeh,Other,21
Yeshivas Be'er Yitzchok,Fully online,61
Yeshivas Emek Hatorah,Fully online,46
Yeshivas Maharit D'Satmar,Other,96
Yeshivas Novominsk,Other,159
Yeshivath Beth Moshe,Other,33
Yeshivath Gedolah Zichron Moshe,Fully online,215
Yeshivath Viznitz,Other,685
York College,Primarily in person,440
York College of Pennsylvania,Hybrid,4317
Young Harris College,Primarily in person,1425
Youngstown State University,Primarily online,12607